name,ico,address,city,nace,source
MOKA SOFTWARE s.r.o.,01417924,"Malátova 461/17, Smíchov, 15000 Praha 5",Prague,62,ares
Loy software s.r.o.,01600125,"Primátorská 296/38, Libeň, 18000 Praha 8",Prague,62,ares
Výhodný Software s.r.o.,01648179,"Ruská 56, Pražské Předměstí, 50601 Jičín",Prague,62,ares
MiriSys Software s.r.o.,01688545,"Na Slanici 444, Louky, 76302 Zlín",Prague,62,ares
Amikon.net Software s.r.o.,01808401,"Pavla Beneše 742/18, Letňany, 19900 Praha 9",Prague,62,ares
MENEON Software s.r.o.,01818597,"č.p. 243, 76315 Veselá",Prague,62,ares
ydea software s.r.o. v likvidaci,01972553,"Mariánské nám. 14, 68801 Uherský Brod",Prague,62,ares
IMMAGO SOFTWARE s.r.o. v likvidaci,01994603,"Máchova 838/18, Vinohrady, 12000 Praha 2",Prague,62,ares
Avast Software s.r.o.,02176475,"Pikrtova 1737/1a, Nusle, 14000 Praha 4",Prague,62,ares
InfoBuild Software CE s.r.o.,02269724,"Primátorská 296/38, Libeň, 18000 Praha 8",Prague,62,ares
Intelligent Software s.r.o.,02356571,"Svatopluka Čecha 2047/93, Královo Pole, 61200 Brno",Prague,62,ares
Saint-Étienne Software Groupe CE s.r.o.,02416361,"Rybná 716/24, Staré Město, 11000 Praha 1",Prague,62,ares
Komora pro kvalitu software,02474531,"Ječná 518/32, Nové Město, 12000 Praha 2",Prague,62,ares
"EASYCORE MEDIA LTD, organizační složka",02511371,"Táborská 940/31, Nusle, 14000 Praha 4",Prague,62,ares
Realitní software České republiky a.s.,02588731,"Hronětice 42, 28921 Kostomlaty nad Labem",Prague,62,ares
cadwork software s.r.o.,02630761,"Na Mokřinách 126/1, Edrovice, 79501 Rýmařov",Prague,62,ares
DWZ software s.r.o.,02966191,"Ve Vlaštovce 179, 28932 Oskořínek",Prague,62,ares
Efektivní software s.r.o.,02983176,"Ve Vlaštovce 179, 28932 Oskořínek",Prague,62,ares
Generated Software s.r.o.,03010201,"Týmlova 164/1, Michle, 14000 Praha 4",Prague,62,ares
Hardware Software services v.o.s.,03047563,"Na břevnovské pláni 1361/67, Břevnov, 16900 Praha 6",Prague,62,ares
Infinion software s.r.o.,03057941,"Poplužní 777/17, Hrabová, 72000 Ostrava",Prague,62,ares
Advisor Software s.r.o.,03074668,"Za zámečkem 745/17, Jinonice, 15800 Praha 5",Prague,62,ares
MAXIMA MACHINES & SOFTWARE s.r.o.,03104788,"Rybná 716/24, Staré Město, 11000 Praha 1",Prague,62,ares
JAVO software s.r.o.,03175243,"Ve Smečkách 586/10, Nové Město, 11000 Praha 1",Prague,62,ares
Petr Schuster software s.r.o.,03190072,"Mrázova 1331/34, Předměstí, 41201 Litoměřice",Prague,62,ares
HI Software a.s.,03226140,"Ladova 389/10, Hejčín, 77900 Olomouc",Prague,62,ares
Limelick Software s.r.o.,03287424,"Za Štěpnicí 364, 25203 Řitka",Prague,62,ares
VOK Software s.r.o.,03322734,"č.p. 163, 25083 Zlatá",Prague,62,ares
MP Software s.r.o.,03339360,"č.p. 75, 33007 Druztová",Prague,62,ares
VT software s.r.o.,03457915,"Plzeňská 1270/97, Košíře, 15000 Praha 5",Prague,62,ares
ČAPEK SOFTWARE s.r.o.,03478084,"Chittussiho 734/13, Slezská Ostrava, 71000 Ostrava",Prague,62,ares
"HAPL software, s.r.o.",03520196,"Průmyslová 4273/3, 79601 Prostějov",Prague,62,ares
TRIM CORE SOFTWARE s.r.o.,03575004,"Milíčova 3042/15, Moravská Ostrava, 70200 Ostrava",Prague,62,ares
WUBE SOFTWARE Ltd. odštěpný závod,03594009,"Belgická 196/38, Vinohrady, 12000 Praha 2",Prague,62,ares
YAMACO Software s.r.o.,03597504,"č.p. 79, 79803 Prostějovičky",Prague,62,ares
"IRIZ software s.r.o. ""v likvidaci""",03665992,"Nádražní 601/159, Přívoz, 70200 Ostrava",Prague,62,ares
ZIROX SOFTWARE s.r.o.,03702863,"Jičínská 226/17, Žižkov, 13000 Praha 3",Prague,62,ares
Depth Charge Software s.r.o.,03703959,"Špitálka 167/21, Trnitá, 60200 Brno",Prague,62,ares
TYRION software s.r.o.,03793711,"Veveří 496/69, Veveří, 60200 Brno",Prague,62,ares
BC Software s.r.o. v likvidaci,03827364,"K Hájům 2671/8, Stodůlky, 15500 Praha 5",Prague,62,ares
ULRICH SOFTWARE s.r.o.,03857808,"Pod Štandlem 776, Místek, 73801 Frýdek-Místek",Prague,62,ares
Stafox software s.r.o.,03892816,"Zenklova 24/54, Libeň, 18000 Praha 8",Prague,62,ares
Kentico Software CZ s.r.o.,03902803,"Nové sady 996/25, Staré Brno, 60200 Brno",Prague,62,ares
SHORTWAY software s.r.o.,03905136,"Madridská 763/11, Vršovice, 10100 Praha 10",Prague,62,ares
Edulus software s.r.o.,03912558,"Roháčova 145/14, Žižkov, 13000 Praha 3",Prague,62,ares
"Softcon, software consulting, s.r.o.",03943046,"Evžena Rošického 2685/31, 58601 Jihlava",Prague,62,ares
Banys software s.r.o.,03945626,"U Vorlíků 367/3, Bubeneč, 16000 Praha 6",Prague,62,ares
femCalc software s.r.o.,03978460,"Hlavní 75, 25075 Nový Vestec",Prague,62,ares
Jamf Software s.r.o.,04008049,"Moravské náměstí 1007/14, Veveří, 60200 Brno",Prague,62,ares
