name,website,size,industry,city,address,phone,product_jobs,design_jobs,ux_jobs,source,notes
Check Point Software Technologies (Czech Republic) s.r.o.,,,,Prague,"Pobřežní 620/3, Karlín, 18600 Praha 8",,1,0,0,"ares,google_maps",
SCS Software s.r.o.,,,,Prague,"Tomíčkova 2427/2, Chodov, 14800 Praha 4",,1,1,1,"ares,google_maps",
"Ataccama Software, s.r.o.",,,,Prague,"Sokolovská 685/136f, Karlín, 18600 Praha 8",,1,1,1,"ares,google_maps",
"J & H SOFTWARE, s.r.o.",,,,Prague,"U vršovického nádraží 264/16, Vršovice, 10100 Praha 10",,0,0,0,"ares,google_maps",
Data Security Services s.r.o.,,,,Prague,"Radlická 663/28, Smíchov, 15000 Praha 5",,0,0,0,"ares,google_maps",
"Start it Up!, nadační fond",,,,Prague,"Americká 340/31, Vinohrady, 12000 Praha 2",,0,0,0,"ares,google_maps",
"IT Market ICT, s.r.o.",,,,Prague,"U továren 999/31, Hostivař, 10200 Praha 10",,0,0,0,"ares,google_maps",
NEON IT s.r.o.,,,,Prague,"Lomnického 1705/9, Nusle, 14000 Praha 4",,0,0,0,"ares,google_maps",
EQUED IT s.r.o.,,,,Prague,"Varšavská 715/36, Vinohrady, 12000 Praha 2",,0,0,0,"ares,google_maps",
IT Lab czech s.r.o.,,,,Prague,"Plzeňská 3350/18, Smíchov, 15000 Praha 5",,0,0,0,"ares,google_maps",
"IT - pomoc.cz, s.r.o.",,,,Prague,"Krásova 680/32, Žižkov, 13000 Praha 3",,0,0,0,"ares,google_maps",
IT Operations s.r.o.,,,,Prague,"U továren 256/14, Hostivař, 10200 Praha 10",,0,0,0,"ares,google_maps",
"SMART Office & Companies, s.r.o.",,,,Prague,"Rohanské nábřeží 671/15, Karlín, 18600 Praha 8",,0,0,0,"ares,google_maps",
Smart Company Development s.r.o.,,,,Prague,"Dusíkova 910/17, Lesná, 63800 Brno",,0,0,0,"ares,google_maps",
Tesco Mobile ČR s.r.o.,,,,Prague,"Vršovická 1527/68b, Vršovice, 10000 Praha 10",,0,0,0,"ares,google_maps",
Qrator Labs CZ s.r.o.,,,,Prague,"Růžová 1416/17, Nové Město, 11000 Praha 1",,0,0,0,"ares,google_maps",
Auxilium Pentest Labs a.s.,,,,Prague,"Jankovcova 1627/16a, Holešovice, 17000 Praha 7",,0,0,0,"ares,google_maps",
CORAX CYBER a.s.,,,,Prague,"Podskalská 1909/20, Nové Město, 12800 Praha 2",,0,0,0,"ares,google_maps",
Bohemian AI Technologies s.r.o.,,,,Prague,"Lupáčova 891/7, Žižkov, 13000 Praha 3",,0,0,0,"ares,google_maps",
GROVE TECH AI s.r.o.,,,,Prague,"Varšavská 715/36, Vinohrady, 12000 Praha 2",,0,0,0,"ares,google_maps",
Next Generation Security Solutions s.r.o.,,,,Prague,"U Uranie 954/18, Holešovice, 17000 Praha 7",,0,0,0,"ares,google_maps",
ALICE Tech Prague s.r.o.,,,,Prague,,,0,0,0,google_maps,
DXC Technology,,,,Prague,,,0,0,0,google_maps,
Buinsoft Technology SRO,,,,Prague,,,0,0,0,google_maps,
mgm technology partners s.r.o. Prague,,,,Prague,,,0,0,0,google_maps,
ELEVUP,,,,Prague,,,0,0,0,google_maps,
CLEEVIO: Custom Software Development Company,,,,Prague,,,0,0,0,google_maps,
NUBES tech s.r.o.,,,,Prague,,,0,0,0,google_maps,
Iguana Technology s.r.o.,,,,Prague,,,0,0,0,google_maps,
Ciklum Czech Republic,,,,Prague,,,0,0,0,google_maps,
Reasunta Technology s.r.o.,,,,Prague,,,0,0,0,google_maps,
HTEC s.r.o.,,,,Prague,,,0,0,0,google_maps,
Folimanka Technologies s.r.o.,,,,Prague,,,0,0,0,google_maps,
Jimmy Technologies s.r.o.,,,,Prague,,,0,0,0,google_maps,
JetBrains s.r.o.,,,,Prague,,,0,0,0,google_maps,
SYNOPSIS TECHNOLOGIES a.s.,,,,Prague,,,0,0,0,google_maps,
WolkAbout Technology s.r.o.,,,,Prague,,,0,0,0,google_maps,
COOLHOUSING Datacentrum,,,,Prague,,,0,0,0,google_maps,
Pokladny AWIS s.r.o.,,,,Prague,,,0,0,0,google_maps,
"NEWTON Technologies, a.s.",,,,Prague,,,0,0,0,google_maps,
"TechSoft Engineering, spol. s r.o.",,,,Prague,,,0,0,0,google_maps,
LinkSoft Technologies a.s.,,,,Prague,,,0,0,0,google_maps,
Huawei Technologies Czech s.r.o.,,,,Prague,,,0,0,0,google_maps,
Principal engineering,,,,Prague,,,0,0,0,google_maps,
COEX s.r.o.,,,,Prague,,,0,0,0,google_maps,
SkillZone Gaming Club Žižkov,,,,Prague,,,0,0,0,google_maps,
Victoria TECH s.r.o.,,,,Prague,,,0,0,0,google_maps,
"Cognizant Technology Center Corporate Office, Prague(Praha).",,,,Prague,,,0,0,0,google_maps,
Advanced Search Technology - Prague office,,,,Prague,,,0,0,0,google_maps,
CleverTech s.r.o.,,,,Prague,,,0,0,0,google_maps,
Absa Technology Prague s.r.o,,,,Prague,,,0,0,0,google_maps,
K2 atmitec s.r.o. - pobočka Praha,,,,Prague,,,0,0,0,google_maps,
Jeseniova 93,,,,Prague,,,0,0,0,google_maps,
HOSTALEK_REALITY,,,,Prague,,,0,0,0,google_maps,
Technology S.r.o.,,,,Prague,,,0,0,0,google_maps,
technology-support s.r.o.,,,,Prague,,,0,0,0,google_maps,
"B:TECH, a.s. - Průmyslová automatizace - Kancelář Praha",,,,Prague,,,0,0,0,google_maps,
"Enrian Partners, a.s.",,,,Prague,,,0,0,0,google_maps,
CZECH IT TECHNOLOGY HOLDING,,,,Prague,,,0,0,0,google_maps,
DCIT,,,,Prague,,,0,0,0,google_maps,
"TOVEK, spol s.r.o.",,,,Prague,,,0,0,0,google_maps,
Profinit,,,,Prague,,,0,0,0,google_maps,
SUSE Linux s.r.o,,,,Prague,,,0,0,0,google_maps,
"Novum Global, a.s.",,,,Prague,,,0,0,0,google_maps,
Unicorn,,,,Prague,,,0,0,0,google_maps,
DevsData IT Recruitment Prague Czech Republic IT Staffing,,,,Prague,,,0,0,0,google_maps,
Hangar 13 / 2K Czech Prague,,,,Prague,,,0,0,0,google_maps,
Softcom Group,,,,Prague,,,0,0,0,google_maps,
Wube Software,,,,Prague,,,0,0,0,google_maps,
INOVIO Direct s.r.o.,,,,Prague,,,0,0,0,google_maps,
CodeNOW®,,,,Prague,,,0,0,0,google_maps,
Matee Devs s.r.o.,,,,Prague,,,0,0,0,google_maps,
S-cape,,,,Prague,,,0,0,0,google_maps,
GEP,,,,Prague,,,0,0,0,google_maps,
Veeam Software,,,,Prague,,,0,0,0,google_maps,
Semrush CZ,,,,Prague,,,0,0,0,google_maps,
Chaos Czech a.s.,,,,Prague,,,0,0,0,google_maps,
Brand Embassy,,,,Prague,,,0,0,0,google_maps,
Avast,,,,Prague,,,0,0,0,google_maps,
"Teradata Česká republika, spol. s r.o.",,,,Prague,,,0,0,0,google_maps,
Knowspread.cz s.r.o.,,,,Prague,,,0,0,0,google_maps,
KOALA42 | Vývoj webových a mobilních aplikací | Praha,,,,Prague,,,0,0,0,google_maps,
INSIO Software,,,,Prague,,,0,0,0,google_maps,
Yoummday Prague s.r.o,,,,Prague,,,0,0,0,google_maps,
Y Soft,,,,Prague,,,0,0,0,google_maps,
"LLP Prague, s.r.o.",,,,Prague,,,0,0,0,google_maps,
eMan a.s.,,,,Prague,,,0,0,0,google_maps,
Rossum Czech Republic s.r.o.,,,,Prague,,,0,0,0,google_maps,
ITS akciová společnost,,,,Prague,,,0,0,0,google_maps,
iTcan - externí správce IT,,,,Prague,,,0,0,0,google_maps,
Karlín IT Group,,,,Prague,,,0,0,0,google_maps,
"ICT-GROUP - Správa IT, outsourcing, cybersecurity, helpdesk & cloudové služby",,,,Prague,,,0,0,0,google_maps,
Computer Help,,,,Prague,,,0,0,0,google_maps,
Dream IT Company - Tvorba webových stránek,,,,Prague,,,0,0,0,google_maps,
INVENTI (Praha),,,,Prague,,,0,0,0,google_maps,
Cygni Software spol. S R.o.,,,,Prague,,,0,0,0,google_maps,
"HLAVA, s. r. o.",,,,Prague,,,0,0,0,google_maps,
MDCS Group s.r.o.,,,,Prague,,,0,0,0,google_maps,
