name,website,size,industry,city,address,phone,product_jobs,design_jobs,ux_jobs,source,notes
11 companies in Czechia that are harnessing the power of AI,https://www.expats.cz/czech-news/article/11-companies-in-czechia-harnessing-the-power-of-ai,,,Prague,,,1,1,0,google_search,
Startups,https://czechstartups.gov.cz/en/startup-ecosystem/start-ups/,,,Prague,,,1,1,1,google_search,
AI & Digital,https://czechinvest.gov.cz/en/Key-sectors/AI-Digital,,,Prague,,,1,1,1,google_search,
The 15 best companies: Custom software development Prague,https://en.firmy.cz/top/Trades-and-services/IT-and-internet-services/Custom-software-development/kraj-praha,,,Prague,,,0,0,0,google_search,
Cleevio,https://www.cleevio.cz/,,,Prague,,,1,1,1,google_search,
Startups,https://www.czechspaceportal.cz/en/startups/,,,Prague,,,1,1,1,google_search,
Webdesign Prague – Your Hub for Expert Web Development,https://pavelkajan.cz/web-development-in-prague-your-hub-for-expert-programming-services/?lang=en,,,Prague,,,1,0,0,google_search,
Biotech and biomedicine,https://www.pragueinnovationcircle.cz/biotech_and_biomedicine/,,,Prague,,,1,1,0,google_search,
[PDF] Technology centre Prague,https://www.svtp.cz/en/?PDF=3,,,Prague,,,0,0,0,google_search,
Top Software Developers in Prague,https://clutch.co/cz/developers/prague,,,Prague,,,1,1,0,google_search,
Cleevio,https://www.cleevio.com/,,,Prague,,,1,1,1,google_search,
Top 20+ IT Companies in Prague (2026),https://techbehemoths.com/companies/prague,,,Prague,,,0,0,0,google_search,
KSWR,https://www.kswr.cz/,,,Prague,,,1,1,1,google_search,
The Best Software Developers Companies in Prague,https://themanifest.com/cz/software-development/companies/prague?page=2,,,Prague,,,0,0,0,google_search,
the 21st-century software,https://www.software21.cz/en/,,,Prague,,,1,1,0,google_search,
63 top Software companies and startups in Prague in March 2026,https://www.f6s.com/companies/software/czech-republic/prague/co,,,Prague,,,0,0,0,google_search,
JetBrains Prague Office,https://www.jetbrains.com/careers/locations/czech-republic/,,,Prague,,,1,1,1,google_search,
Integrated software and network solutions • ICZ Group,https://www.iczgroup.com/en/,,,Prague,,,0,0,0,google_search,
Homepage,https://www.its.cz/,,,Prague,,,1,1,1,google_search,
"We manage and protect corporate IT, IT outsourcing.",https://www.ict-group.cz/?lang=en,,,Prague,,,0,0,1,google_search,
Professional ICT services,https://en.totalservice.cz/,,,Prague,,,1,1,1,google_search,
IT solutions,https://www.axians.cz/en/,,,Prague,,,1,1,1,google_search,
SII Czech Republic,https://sii-group.com/en-CZ,,,Prague,,,1,1,1,google_search,
"It Services Company s.r.o., Prague, Czech Republic","https://www.northdata.com/It%20Services%20Company%20s%C2%B7r%C2%B7o%C2%B7,%20Praha/ICO%2003366171",,,Prague,,,0,0,0,google_search,
